SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
m10xm11,bsyn,-0.0127213,0.269102,-0.445214,0.443963,-0.570861,0.564053,-1.24256,1.2349

m10xm11,syn,0.00396716,0.222419,-0.353209,0.376622,-0.54424,0.58895,-0.95696,1.06472

m10xm12,bsyn,-0.0850867,0.330832,-0.661399,0.428595,-0.845405,0.600399,-1.36467,1.4284

m10xm12,syn,-0.0240463,0.212753,-0.387281,0.318772,-0.585028,0.462567,-0.91348,0.816079

m10xm1,bsyn,0.0105981,0.267139,-0.439815,0.443822,-0.571296,0.549294,-1.5297,1.16362

m10xm1,syn,0.0154606,0.234695,-0.388677,0.392432,-0.482796,0.619176,-1.02538,1.0281

m10xm2,bsyn,0.00161778,0.255857,-0.420421,0.415489,-0.551749,0.554595,-1.23427,1.40657

m10xm2,syn,0.00613151,0.230397,-0.378841,0.380181,-0.568723,0.554931,-1.07399,1.09722

m10xm3,bsyn,-0.0478394,0.291776,-0.536477,0.438558,-0.676655,0.581208,-1.30539,1.29277

m10xm3,syn,-0.0323046,0.240225,-0.426612,0.370572,-0.572519,0.634181,-1.19292,1.11545

m10xm4,bsyn,0.00109031,0.271182,-0.437868,0.450445,-0.56228,0.561216,-1.51469,1.211

m10xm4,syn,0.0124923,0.215466,-0.336545,0.37214,-0.452982,0.603069,-1.06485,1.25084

m10xm5,bsyn,-0.26363,0.309458,-0.781225,0.218997,-0.920091,0.445426,-1.49202,1.45168

m10xm5,syn,-0.241346,0.271917,-0.701796,0.190636,-0.834295,0.434037,-1.35349,1.10743

m10xm6,bsyn,-0.0823457,0.264618,-0.509314,0.353642,-0.621445,0.488911,-1.47571,1.70256

m10xm6,syn,-0.0729909,0.231769,-0.448476,0.316293,-0.552452,0.605439,-1.06604,1.2305

m10xm7,bsyn,-0.0176541,0.276912,-0.461727,0.454316,-0.572042,0.610014,-1.24263,1.27857

m10xm7,syn,-0.00597714,0.213629,-0.352582,0.345036,-0.619296,0.504665,-1.07888,0.919445

m10xm8,bsyn,-0.0814727,0.281657,-0.54857,0.392826,-0.670922,0.549102,-1.28978,1.18202

m10xm8,syn,-0.067616,0.230745,-0.439822,0.322542,-0.568829,0.613204,-1.08678,1.07801

m10xm9,bsyn,-0.0407214,0.273659,-0.486314,0.42185,-0.594147,0.573104,-1.44644,1.10834

m10xm9,syn,-0.02978,0.233402,-0.407618,0.355855,-0.527269,0.657215,-1.17386,1.0211

m11xm10,bsyn,-0.0450217,0.281728,-0.53448,0.388726,-0.641988,0.577124,-1.277,1.35076

m11xm10,syn,-0.0299878,0.210397,-0.399247,0.289783,-0.688052,0.555495,-0.917187,0.854048

m11xm12,bsyn,-0.0674196,0.303594,-0.585598,0.396082,-0.720582,0.575626,-1.68802,1.02922

m11xm12,syn,-0.0531376,0.245774,-0.476056,0.320082,-0.703025,0.520409,-1.46511,0.896058

m11xm1,bsyn,-0.0089443,0.291365,-0.512309,0.432142,-0.653464,0.601416,-1.46483,1.23403

m11xm1,syn,-0.00745212,0.265406,-0.46836,0.404191,-0.618942,0.712256,-1.25914,1.14408

m11xm2,bsyn,-0.0567301,0.306263,-0.589657,0.400824,-0.725671,0.57913,-1.61765,1.1062

m11xm2,syn,-0.0439021,0.246651,-0.467423,0.329569,-0.575699,0.614246,-1.3526,0.878604

m11xm3,bsyn,-0.0690649,0.296669,-0.584335,0.395095,-0.741251,0.522928,-1.47059,1.21216

m11xm3,syn,-0.0554883,0.250111,-0.490411,0.333764,-0.617694,0.564283,-1.41541,1.04532

m11xm4,bsyn,-0.0250112,0.284923,-0.528078,0.421058,-0.670244,0.545633,-1.18841,1.20387

m11xm4,syn,-0.0180511,0.251352,-0.456892,0.372202,-0.614848,0.664001,-1.26564,1.24954

m11xm5,bsyn,-0.273882,0.334788,-0.841867,0.256209,-1.0004,0.469384,-1.6752,1.70308

m11xm5,syn,-0.241818,0.281246,-0.714032,0.220425,-0.888823,0.466016,-1.7039,0.952991

m11xm6,bsyn,-0.105943,0.321558,-0.669625,0.391802,-0.815324,0.523901,-1.57517,1.7551

m11xm6,syn,-0.0877664,0.261734,-0.540351,0.314201,-0.710044,0.640848,-1.44854,1.52171

m11xm7,bsyn,-0.0584791,0.293715,-0.539833,0.417422,-0.664812,0.565233,-1.40762,1.3069

m11xm7,syn,-0.0467499,0.23214,-0.433825,0.320819,-0.636601,0.506159,-1.1702,0.94587

m11xm8,bsyn,-0.086658,0.286079,-0.588217,0.340589,-0.755988,0.490818,-1.64927,1.31302

m11xm8,syn,-0.0755369,0.247652,-0.503807,0.298957,-0.651304,0.579979,-1.34009,0.968079

m11xm9,bsyn,-0.0670457,0.288518,-0.575855,0.373684,-0.719072,0.502205,-1.52364,1.16486

m11xm9,syn,-0.0549598,0.244958,-0.484783,0.318976,-0.646408,0.624728,-1.34785,1.09362

m12xm10,bsyn,-0.0166401,0.317583,-0.546765,0.517339,-0.763325,0.652658,-1.31001,1.34338

m12xm10,syn,0.000105588,0.235676,-0.380501,0.400254,-0.559006,0.551046,-0.87891,1.07363

m12xm11,bsyn,-0.00122982,0.283584,-0.445406,0.482823,-0.669868,0.614616,-1.11493,1.64765

m12xm11,syn,0.00591145,0.23132,-0.353771,0.399443,-0.585476,0.523519,-0.907859,1.42494

m12xm1,bsyn,0.0218108,0.279585,-0.458603,0.476426,-0.638489,0.597399,-1.26778,1.15428

m12xm1,syn,0.00611095,0.250665,-0.424393,0.406466,-0.575513,0.64666,-1.16809,1.08351

m12xm2,bsyn,-0.00500011,0.252775,-0.419713,0.413702,-0.538008,0.55015,-1.11941,1.18978

m12xm2,syn,0.000642176,0.232308,-0.38334,0.381854,-0.508538,0.602739,-1.03423,1.14526

m12xm3,bsyn,-0.0250942,0.294482,-0.512423,0.475298,-0.681895,0.613165,-1.29589,1.2252

m12xm3,syn,-0.00716139,0.245823,-0.405237,0.415399,-0.576975,0.701016,-1.15884,1.24378

m12xm4,bsyn,0.0170965,0.287081,-0.458221,0.493126,-0.631546,0.624859,-1.29855,1.53407

m12xm4,syn,0.0356793,0.237442,-0.346587,0.431203,-0.496479,0.672711,-1.21572,1.34871

m12xm5,bsyn,-0.222274,0.309632,-0.758537,0.286782,-0.879635,0.451002,-1.47168,1.41748

m12xm5,syn,-0.176948,0.238015,-0.570822,0.209375,-0.657638,0.407863,-1.09824,0.952536

m12xm6,bsyn,-0.0579342,0.278568,-0.511343,0.412666,-0.707205,0.549264,-1.37673,1.41272

m12xm6,syn,-0.0489576,0.260632,-0.459973,0.396134,-0.602362,0.673425,-1.40631,1.36881

m12xm7,bsyn,0.00175596,0.286223,-0.474947,0.458905,-0.613439,0.602916,-1.41739,1.30919

