SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
c10xc11,bsyn,0.0223948,0.310806,-0.49007,0.525699,-0.690248,0.640635,-1.16376,1.20296

c10xc11,syn,0.0320459,0.287985,-0.439512,0.507832,-0.622858,0.620488,-0.965878,1.15187

c10xc12,bsyn,0.0441887,0.318427,-0.462743,0.572166,-0.708983,0.715462,-1.53691,1.40788

c10xc12,syn,0.0551022,0.274315,-0.388558,0.514254,-0.564174,0.641489,-1.1394,1.26925

c10xc13,bsyn,0.136295,0.372791,-0.481134,0.742336,-0.780489,0.883172,-1.45663,1.74796

c10xc13,syn,0.108611,0.31262,-0.397005,0.634462,-0.652466,0.773365,-1.02758,1.49978

c10xc14,bsyn,0.215021,0.31011,-0.31078,0.719995,-0.5708,0.840801,-1.01113,1.437

c10xc14,syn,0.207388,0.27443,-0.261512,0.653444,-0.51388,0.758578,-0.863228,1.37912

c10xc15,bsyn,0.0824005,0.401202,-0.597821,0.723569,-0.831228,0.85414,-1.4535,1.47655

c10xc15,syn,0.0885696,0.351997,-0.497334,0.655006,-0.711192,0.772382,-1.11674,1.37028

c10xc16,bsyn,0.143536,0.381981,-0.525708,0.750279,-0.754698,0.887224,-1.251,1.67812

c10xc16,syn,0.139293,0.345748,-0.467066,0.680395,-0.69378,0.80003,-0.988204,1.6082

c10xc17,bsyn,0.0460328,0.410349,-0.644539,0.696722,-0.876969,0.838704,-1.55392,1.51194

c10xc17,syn,0.0193338,0.329331,-0.505692,0.568024,-0.682794,0.691218,-1.32681,1.33911

c10xc18,bsyn,0.113682,0.339615,-0.438537,0.67494,-0.700963,0.807948,-1.20058,1.43636

c10xc18,syn,0.113347,0.302226,-0.368445,0.62409,-0.573264,0.752346,-1.09053,1.41967

c10xc1,bsyn,0.0711874,0.310031,-0.478094,0.556871,-0.686662,0.675501,-1.11601,1.22152

c10xc1,syn,0.081998,0.292116,-0.416203,0.542359,-0.619686,0.659287,-1.09637,1.29592

c10xc2,bsyn,0.0388804,0.317025,-0.49124,0.557019,-0.657678,0.684345,-1.1566,1.33345

c10xc2,syn,0.045468,0.293691,-0.439521,0.519229,-0.604626,0.647228,-1.05172,1.22384

c10xc3,bsyn,0.071797,0.303561,-0.430026,0.573799,-0.64751,0.698588,-0.99733,1.32857

c10xc3,syn,0.0724873,0.277216,-0.394559,0.52373,-0.609229,0.640143,-1.01255,1.2665

c10xc4,bsyn,0.159942,0.357446,-0.46355,0.71913,-0.698325,0.858702,-1.1007,1.6114

c10xc4,syn,0.15352,0.291922,-0.324368,0.639512,-0.508502,0.754373,-0.799916,1.41438

c10xc5,bsyn,0.0655714,0.301665,-0.438354,0.558971,-0.616935,0.680555,-1.26116,1.18955

c10xc5,syn,0.0750492,0.275514,-0.379589,0.525142,-0.542755,0.631915,-1.20658,1.22153

c10xc6,bsyn,0.0585337,0.328893,-0.468204,0.598981,-0.662533,0.769974,-1.21454,1.71131

c10xc6,syn,0.0663534,0.304139,-0.422443,0.571099,-0.593453,0.731103,-1.13024,1.64588

c10xc7,bsyn,-0.0458513,0.326556,-0.585774,0.486589,-0.75228,0.625012,-1.66542,1.38772

c10xc7,syn,-0.0246056,0.264918,-0.463277,0.405772,-0.618451,0.527547,-1.05021,1.27833

c10xc8,bsyn,-0.0866197,0.33828,-0.665359,0.461994,-0.838445,0.603361,-1.46088,1.26788

c10xc8,syn,-0.0582536,0.298822,-0.565355,0.420402,-0.754379,0.553253,-1.4555,1.30581

c10xc9,bsyn,0.0505703,0.324461,-0.483986,0.574882,-0.659709,0.708085,-1.3105,1.48203

c10xc9,syn,0.0616925,0.285981,-0.41094,0.530516,-0.572824,0.646428,-1.12577,1.21378

c11xc10,bsyn,-0.0847724,0.328724,-0.615494,0.459568,-0.738621,0.598033,-1.41064,1.25478

c11xc10,syn,-0.0819214,0.30469,-0.581997,0.418035,-0.698576,0.55178,-1.23361,1.11035

c11xc12,bsyn,-0.0611349,0.331962,-0.61492,0.47129,-0.81657,0.625472,-1.59799,1.28754

c11xc12,syn,-0.0546874,0.293526,-0.534907,0.429778,-0.676435,0.576643,-1.36035,1.15256

c11xc13,bsyn,0.134713,0.338689,-0.44466,0.664928,-0.70113,0.793876,-1.53123,1.35704

c11xc13,syn,0.128236,0.294662,-0.366892,0.591372,-0.606092,0.708501,-1.44259,1.21408

c11xc14,bsyn,0.136238,0.316155,-0.418919,0.6367,-0.621075,0.766775,-1.08184,1.32847

c11xc14,syn,0.133673,0.284211,-0.358592,0.584166,-0.538789,0.699087,-0.99602,1.18394

c11xc15,bsyn,0.058198,0.385399,-0.676029,0.612707,-0.896905,0.73705,-1.78684,1.32278

c11xc15,syn,0.0542825,0.367154,-0.642184,0.591664,-0.84515,0.714033,-1.54419,1.28011

c11xc16,bsyn,0.0619889,0.369265,-0.623102,0.609223,-0.854614,0.725512,-1.60636,1.38381

c11xc16,syn,0.067142,0.336913,-0.54835,0.562371,-0.753739,0.67869,-1.40765,1.34274

c11xc17,bsyn,0.00693719,0.432368,-0.768996,0.641631,-0.946879,0.794954,-1.91364,1.34762

c11xc17,syn,0.0163137,0.380138,-0.67003,0.57951,-0.831712,0.727306,-1.65677,1.33128

c11xc18,bsyn,0.062316,0.340239,-0.523781,0.590874,-0.765659,0.706246,-1.65587,1.42033

c11xc18,syn,0.0457266,0.30428,-0.476945,0.524525,-0.676205,0.638088,-1.39183,1.28723

c11xc1,bsyn,-0.00307225,0.341058,-0.564432,0.559059,-0.713259,0.722282,-1.1382,1.64992

c11xc1,syn,0.00168605,0.31053,-0.50268,0.519732,-0.651541,0.670055,-1.11596,1.36562

c11xc2,bsyn,-0.0797584,0.320136,-0.594377,0.46373,-0.75254,0.609833,-1.28971,1.4252

c11xc2,syn,-0.0749809,0.300054,-0.550998,0.432957,-0.680863,0.573476,-1.13267,1.34132

c11xc3,bsyn,-0.0368744,0.330195,-0.601155,0.487773,-0.773929,0.62246,-1.82243,1.31365

c11xc3,syn,-0.0290411,0.294402,-0.51983,0.449496,-0.673262,0.579522,-1.42421,1.18205

c11xc4,bsyn,0.124947,0.355926,-0.483084,0.692388,-0.698829,0.832302,-1.47077,1.3701

c11xc4,syn,0.12568,0.301363,-0.382685,0.60788,-0.565275,0.741499,-1.23516,1.32913

c11xc5,bsyn,-0.00537651,0.293723,-0.4871,0.482022,-0.624985,0.608948,-1.05206,1.23019

c11xc5,syn,-0.000723054,0.276486,-0.450296,0.466402,-0.586067,0.59494,-1.15634,1.24956

c11xc6,bsyn,0.0210221,0.326854,-0.532237,0.551893,-0.702883,0.679748,-1.28048,1.348

c11xc6,syn,0.0320423,0.281667,-0.446971,0.490101,-0.60521,0.602373,-1.18536,1.30695

c11xc7,bsyn,-0.107567,0.324771,-0.641691,0.42082,-0.773099,0.552339,-1.52281,1.0887

c11xc7,syn,-0.100219,0.304139,-0.589717,0.3922,-0.704285,0.522016,-1.45276,1.1517

c11xc8,bsyn,-0.21712,0.382984,-0.846692,0.416148,-0.991812,0.593233,-1.63471,1.34142

c11xc8,syn,-0.190045,0.341456,-0.744605,0.38072,-0.876107,0.544788,-1.61977,1.01718

c11xc9,bsyn,0.000673299,0.340694,-0.573447,0.549774,-0.735243,0.686667,-1.22735,1.46314

c11xc9,syn,0.00601594,0.29779,-0.488749,0.494336,-0.648361,0.618838,-1.21947,1.21366

c12xc10,bsyn,-0.0539028,0.319323,-0.600201,0.456099,-0.734064,0.671122,-1.12079,1.50559

c12xc10,syn,-0.0498358,0.296812,-0.561929,0.426277,-0.711097,0.616866,-1.22965,1.17614

c12xc11,bsyn,-0.0271467,0.326828,-0.571898,0.49369,-0.715419,0.67679,-1.14962,1.58324

c12xc11,syn,-0.0171337,0.299116,-0.514418,0.457955,-0.646728,0.599832,-1.12321,1.32543

c12xc13,bsyn,0.123863,0.383343,-0.553815,0.717355,-0.835017,0.859023,-1.6615,1.42952

c12xc13,syn,0.0917018,0.324829,-0.477915,0.605873,-0.713379,0.73248,-1.44044,1.25758

c12xc14,bsyn,0.155003,0.364958,-0.475146,0.726495,-0.691166,0.848213,-1.38243,1.57336

c12xc14,syn,0.155094,0.315511,-0.382972,0.653264,-0.586275,0.768597,-1.26793,1.35784

c12xc15,bsyn,0.00114645,0.523275,-0.949136,0.756602,-1.20245,0.917692,-1.80864,1.81652

c12xc15,syn,-0.0224436,0.452077,-0.790887,0.662504,-0.994854,0.812673,-1.71095,1.77168

c12xc16,bsyn,0.0608476,0.483707,-0.845738,0.755624,-1.11606,0.902853,-1.95612,1.7494

c12xc16,syn,0.0598185,0.404147,-0.701603,0.640544,-0.922846,0.763488,-1.59378,1.29384

c12xc17,bsyn,-0.0804859,0.554016,-1.07114,0.714732,-1.27095,0.856143,-1.88128,1.49462

c12xc17,syn,-0.0631845,0.476991,-0.914224,0.64205,-1.08553,0.768273,-1.56781,1.54823

c12xc18,bsyn,0.06672,0.428047,-0.68947,0.726711,-0.888101,0.87578,-1.44725,1.71532

c12xc18,syn,0.0610315,0.381085,-0.593258,0.66164,-0.770289,0.793828,-1.48654,1.5695

c12xc1,bsyn,0.0523777,0.38197,-0.639297,0.619841,-0.803374,0.74726,-1.66963,1.30535

c12xc1,syn,0.0565836,0.333609,-0.543443,0.565182,-0.68755,0.685934,-1.29161,1.17836

c12xc2,bsyn,-0.0226325,0.371878,-0.660408,0.566041,-0.816336,0.72899,-1.54086,1.45548

c12xc2,syn,-0.0132318,0.33119,-0.570305,0.515341,-0.71513,0.653332,-1.35937,1.23871

c12xc3,bsyn,0.0108625,0.375342,-0.615836,0.596142,-0.800675,0.747876,-1.56313,1.59314

c12xc3,syn,0.0254476,0.308641,-0.494333,0.516604,-0.644407,0.640659,-1.27309,1.43968

c12xc4,bsyn,0.107764,0.367168,-0.527534,0.679735,-0.742505,0.814249,-1.35698,1.78104

c12xc4,syn,0.103579,0.320258,-0.427647,0.610832,-0.625738,0.727938,-1.13491,1.50077

c12xc5,bsyn,0.0661899,0.365758,-0.578559,0.616586,-0.772297,0.746448,-1.52721,1.46422

c12xc5,syn,0.0725662,0.308622,-0.45531,0.556549,-0.624798,0.676848,-1.12341,1.28834

c12xc6,bsyn,-0.0467662,0.361226,-0.670702,0.524582,-0.853752,0.683069,-1.73535,1.75286

c12xc6,syn,-0.0519396,0.329538,-0.618354,0.468991,-0.772499,0.603841,-1.36168,1.59159

c12xc7,bsyn,-0.112374,0.349567,-0.713273,0.436393,-0.903339,0.624063,-1.9597,1.34258

c12xc7,syn,-0.0998696,0.3091,-0.62433,0.38511,-0.778926,0.546523,-1.77551,1.46717

c12xc8,bsyn,-0.171823,0.332063,-0.721897,0.353772,-0.858058,0.520636,-1.61814,1.31953

c12xc8,syn,-0.160432,0.297582,-0.662971,0.309959,-0.786247,0.463532,-1.36143,0.971055

c12xc9,bsyn,0.00265085,0.36464,-0.615089,0.599106,-0.807708,0.784538,-1.63301,1.30861

c12xc9,syn,0.00179661,0.335948,-0.568815,0.552489,-0.752101,0.683919,-1.50156,1.25369

c13xc10,bsyn,-0.20145,0.381262,-0.816857,0.431901,-1.00539,0.744139,-1.6081,1.66375

c13xc10,syn,-0.164896,0.339156,-0.721602,0.399533,-0.900779,0.679159,-1.50556,1.50411

c13xc11,bsyn,-0.174497,0.375014,-0.775467,0.451848,-0.925936,0.703296,-1.48257,1.6578

c13xc11,syn,-0.151253,0.319317,-0.667092,0.37917,-0.793073,0.619944,-1.30701,1.5131

c13xc12,bsyn,-0.243985,0.374008,-0.827474,0.39516,-0.980032,0.659034,-1.48284,1.7211

c13xc12,syn,-0.215321,0.317028,-0.7306,0.314455,-0.873216,0.563723,-1.26567,1.23715

c13xc14,bsyn,-0.0739793,0.316911,-0.613304,0.433939,-0.781314,0.55624,-1.28182,0.999406

c13xc14,syn,-0.0537918,0.250789,-0.473118,0.354614,-0.608207,0.468768,-1.16752,1.01657

c13xc15,bsyn,-0.0397347,0.297972,-0.540344,0.440437,-0.700918,0.608174,-1.313,1.06874

c13xc15,syn,-0.0360498,0.26776,-0.481988,0.400765,-0.621495,0.557988,-1.15603,1.09442

c13xc16,bsyn,-0.0204877,0.304545,-0.529755,0.477343,-0.661409,0.648029,-1.23618,1.32794

c13xc16,syn,-0.0175989,0.257344,-0.451618,0.398251,-0.580054,0.560179,-1.03425,1.13226

c13xc17,bsyn,-0.00809492,0.306706,-0.51612,0.499076,-0.679678,0.643708,-1.22636,1.19643

c13xc17,syn,0.0046103,0.257774,-0.420167,0.429531,-0.564041,0.559098,-1.07778,1.13647

c13xc18,bsyn,0.037221,0.308669,-0.462317,0.551222,-0.685877,0.760075,-1.11144,1.25003

c13xc18,syn,0.042335,0.294649,-0.436262,0.534014,-0.638114,0.735324,-1.05193,1.32604

c13xc1,bsyn,-0.112335,0.318439,-0.64411,0.403411,-0.807474,0.621376,-1.46036,1.36497

c13xc1,syn,-0.108639,0.275226,-0.554568,0.349243,-0.694107,0.564624,-1.20953,1.31391

c13xc2,bsyn,-0.188343,0.326816,-0.736457,0.338848,-0.908965,0.608663,-1.42862,1.23342

c13xc2,syn,-0.166786,0.283081,-0.637428,0.292944,-0.785621,0.558018,-1.29821,1.0731

c13xc3,bsyn,-0.164828,0.313826,-0.664329,0.365284,-0.820716,0.589255,-1.22199,1.16023

c13xc3,syn,-0.150561,0.284729,-0.610716,0.327774,-0.754802,0.550522,-1.32441,1.24417

c13xc4,bsyn,-0.0523956,0.318459,-0.584381,0.464298,-0.729552,0.604286,-1.18939,1.2805

c13xc4,syn,-0.0405651,0.280303,-0.506754,0.414444,-0.646058,0.550746,-1.12453,1.1526

c13xc5,bsyn,-0.112343,0.310668,-0.616569,0.405462,-0.796731,0.69639,-1.25306,1.43775

c13xc5,syn,-0.0993083,0.269525,-0.538669,0.344035,-0.698953,0.629548,-1.16789,1.14271

c13xc6,bsyn,-0.0224812,0.336966,-0.578139,0.540145,-0.779277,0.761059,-1.16286,1.59817

c13xc6,syn,-0.0113938,0.287869,-0.489432,0.45778,-0.6589,0.679018,-1.05069,1.22771

c13xc7,bsyn,-0.259402,0.41281,-0.937987,0.429767,-1.10073,0.686584,-1.81192,1.65865

c13xc7,syn,-0.237372,0.35494,-0.823784,0.348923,-0.964127,0.598991,-1.59297,1.54791

c13xc8,bsyn,-0.12743,0.39033,-0.734764,0.553657,-0.906233,0.754033,-1.3936,1.32951

c13xc8,syn,-0.0861964,0.401358,-0.719519,0.601317,-0.868754,0.775069,-1.55739,1.392

c13xc9,bsyn,-0.0595506,0.352048,-0.636333,0.531358,-0.840013,0.796797,-1.37158,1.46705

c13xc9,syn,-0.0453957,0.308452,-0.552647,0.470087,-0.739139,0.738669,-1.15662,1.45369

c14xc10,bsyn,-0.264292,0.324111,-0.775415,0.283838,-0.932745,0.528684,-1.4322,1.53151

c14xc10,syn,-0.245438,0.28828,-0.70756,0.238322,-0.833665,0.469242,-1.29832,1.3849

c14xc11,bsyn,-0.171306,0.351457,-0.743506,0.417126,-0.876634,0.644463,-1.31561,1.41315

c14xc11,syn,-0.146452,0.297966,-0.62172,0.357151,-0.742154,0.557588,-1.25599,1.30482

c14xc12,bsyn,-0.234928,0.390016,-0.858979,0.410192,-0.993705,0.632972,-1.58641,1.61907

c14xc12,syn,-0.206639,0.314122,-0.712723,0.313278,-0.827121,0.521531,-1.41909,1.38243

c14xc13,bsyn,0.00734187,0.29929,-0.472141,0.513067,-0.600403,0.654828,-1.05627,1.38879

c14xc13,syn,0.0186855,0.248908,-0.384067,0.432318,-0.506463,0.555328,-0.96389,1.26061

c14xc15,bsyn,-0.0545553,0.331941,-0.616978,0.473868,-0.763451,0.643154,-1.33678,1.534

c14xc15,syn,-0.0433665,0.297446,-0.540497,0.435764,-0.678103,0.59261,-1.18159,1.30334

c14xc16,bsyn,-0.0237654,0.296592,-0.520415,0.463421,-0.65596,0.604335,-1.16822,1.25786

c14xc16,syn,-0.0151678,0.258482,-0.436953,0.407348,-0.580469,0.540338,-1.30312,1.20733

c14xc17,bsyn,-0.0225115,0.359169,-0.639882,0.540333,-0.796097,0.684187,-1.60317,1.6022

c14xc17,syn,-0.0068055,0.310135,-0.525974,0.491334,-0.654457,0.622355,-1.34762,1.46657

c14xc18,bsyn,-0.061333,0.306237,-0.56772,0.440821,-0.751299,0.610431,-1.29743,1.64487

c14xc18,syn,-0.0539286,0.266348,-0.49674,0.380269,-0.660821,0.538674,-1.10304,1.11224

c14xc1,bsyn,-0.137283,0.29789,-0.652644,0.344269,-0.804084,0.519588,-1.31612,1.00901

c14xc1,syn,-0.129574,0.272572,-0.586282,0.313636,-0.708809,0.481723,-1.43906,0.881682

c14xc2,bsyn,-0.188586,0.334671,-0.741397,0.362596,-0.926285,0.593239,-1.56977,1.24582

c14xc2,syn,-0.161648,0.287391,-0.633348,0.316031,-0.793394,0.53757,-1.45011,1.29961

c14xc3,bsyn,-0.148076,0.309773,-0.686964,0.342788,-0.825189,0.534696,-1.28869,1.13607

c14xc3,syn,-0.134641,0.264867,-0.591137,0.287141,-0.708761,0.481466,-1.17741,1.01752

c14xc4,bsyn,-0.0307457,0.329802,-0.591583,0.500328,-0.734923,0.627901,-1.24675,1.23348

c14xc4,syn,-0.0181393,0.263383,-0.4625,0.403544,-0.61681,0.520177,-1.05229,1.24549

c14xc5,bsyn,-0.144,0.297769,-0.635368,0.346848,-0.796133,0.563623,-1.2451,1.1589

c14xc5,syn,-0.123271,0.257766,-0.548282,0.30329,-0.671381,0.513202,-1.1644,0.971294

c14xc6,bsyn,-0.090506,0.345687,-0.648187,0.484132,-0.803455,0.689618,-1.44783,1.61949

c14xc6,syn,-0.0688938,0.295176,-0.559025,0.41426,-0.692675,0.608979,-1.27178,1.49166

c14xc7,bsyn,-0.256547,0.367281,-0.854175,0.350922,-0.98625,0.574356,-1.61699,1.26148

c14xc7,syn,-0.244254,0.320605,-0.755095,0.299048,-0.891194,0.520433,-1.67331,1.16295

c14xc8,bsyn,-0.372547,0.439022,-1.06118,0.400304,-1.21004,0.650894,-1.73734,1.49757

c14xc8,syn,-0.335022,0.353428,-0.898146,0.266333,-1.01986,0.509242,-1.58819,1.33897

c14xc9,bsyn,-0.1288,0.347038,-0.703522,0.451856,-0.835741,0.665325,-1.31097,1.20701

c14xc9,syn,-0.118452,0.290183,-0.603441,0.359217,-0.727884,0.575657,-1.22985,1.09578

c15xc10,bsyn,-0.254052,0.405568,-0.91115,0.429272,-1.05923,0.697276,-1.61856,1.73139

c15xc10,syn,-0.221316,0.356769,-0.801164,0.383228,-0.936475,0.637228,-1.56663,1.63449

c15xc11,bsyn,-0.202062,0.368215,-0.793425,0.415623,-0.941672,0.655011,-1.53909,1.64575

c15xc11,syn,-0.179223,0.331108,-0.708509,0.372256,-0.835055,0.603277,-1.47251,1.46828

c15xc12,bsyn,-0.264302,0.44664,-0.972165,0.499467,-1.14914,0.771433,-1.92837,1.88487

c15xc12,syn,-0.205111,0.390018,-0.830207,0.460273,-0.988605,0.683435,-1.72483,1.5608

c15xc13,bsyn,0.000735503,0.325001,-0.541706,0.529795,-0.746881,0.680491,-1.42688,1.36297

c15xc13,syn,0.0203167,0.274646,-0.442223,0.470764,-0.635562,0.602959,-1.04957,1.18432

c15xc14,bsyn,-0.0373055,0.361115,-0.610831,0.578298,-0.804145,0.746324,-1.49945,1.82075

c15xc14,syn,-0.0128909,0.287194,-0.489954,0.459627,-0.673013,0.602211,-1.18636,1.22364

c15xc16,bsyn,-0.0196018,0.32722,-0.567282,0.514571,-0.724536,0.630038,-1.4679,1.31614

c15xc16,syn,-0.0119855,0.30075,-0.51367,0.475115,-0.654586,0.590776,-1.32765,1.16081

c15xc17,bsyn,0.0279582,0.301539,-0.469529,0.524115,-0.625987,0.654269,-1.33265,1.33735

