SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
S01xS02,bsyn,-0.0113079,0.294114,-0.487657,0.477771,-0.596825,0.622786,-1.15059,1.46239

S01xS02,syn,0.00361922,0.247046,-0.398816,0.412464,-0.504699,0.532187,-1.09844,1.2459

S01xS03,bsyn,0.0212892,0.315467,-0.525478,0.515798,-0.666145,0.676251,-1.30177,1.44541

S01xS03,syn,0.0349991,0.266369,-0.420093,0.461004,-0.524832,0.609336,-1.03525,1.38185

S01xS04,bsyn,-0.00605998,0.26718,-0.434526,0.444008,-0.550651,0.600766,-1.13976,1.37837

S01xS04,syn,0.00380326,0.234609,-0.373103,0.402592,-0.473713,0.549353,-0.914623,1.20442

S01xS05,bsyn,-0.0278222,0.323099,-0.543818,0.510233,-0.689583,0.681664,-1.72608,1.31025

S01xS05,syn,-0.00380396,0.251521,-0.41924,0.402529,-0.525287,0.536693,-1.06603,1.12486

S01xS06,bsyn,-0.0264247,0.304924,-0.539675,0.472171,-0.685104,0.621937,-1.4302,1.26997

S01xS06,syn,-0.00915927,0.259592,-0.434677,0.417601,-0.552238,0.559028,-1.53865,1.29828

S01xS07,bsyn,-0.00833451,0.300329,-0.503339,0.480467,-0.664277,0.637409,-1.38449,1.21385

S01xS07,syn,0.0026998,0.2527,-0.41701,0.418173,-0.541018,0.563101,-1.17331,1.0838

S01xS08,bsyn,0.0194349,0.287638,-0.456264,0.489912,-0.587463,0.639171,-1.41693,1.44763

S01xS08,syn,0.0212169,0.263244,-0.410444,0.456085,-0.523277,0.591377,-1.01842,1.38518

S01xS09,bsyn,0.0136344,0.285757,-0.451974,0.483348,-0.595719,0.628303,-1.30273,1.33377

S01xS09,syn,0.0278358,0.241442,-0.364917,0.425697,-0.468191,0.55237,-1.02448,1.35656

S01xS10,bsyn,-0.027459,0.324259,-0.5672,0.512297,-0.726534,0.656019,-1.42513,1.484

S01xS10,syn,-0.00707265,0.256432,-0.440594,0.416294,-0.555253,0.525544,-0.941409,1.13202

S01xS11,bsyn,-0.00708701,0.318079,-0.52854,0.526582,-0.660155,0.678344,-1.18876,1.45014

S01xS11,syn,0.0121571,0.257697,-0.404796,0.448652,-0.518256,0.569624,-1.06899,1.31529

S01xS12,bsyn,-0.0306369,0.303935,-0.523785,0.468855,-0.663185,0.612473,-1.3884,1.31698

S01xS12,syn,-0.0132038,0.259566,-0.432272,0.420717,-0.549624,0.542559,-1.09759,1.17729

S01xS13,bsyn,-0.0450423,0.293612,-0.532027,0.4364,-0.652148,0.57268,-1.1707,1.54496

