SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
g10xg1,bsyn,-0.0891389,0.319847,-0.609677,0.440613,-0.73842,0.564131,-1.30359,1.53474

g10xg1,syn,-0.0702482,0.247467,-0.471947,0.343895,-0.56311,0.452909,-1.06882,0.918295

g10xg2,bsyn,-0.0640267,0.324644,-0.601811,0.474547,-0.717366,0.583782,-1.36232,1.39851

g10xg2,syn,-0.0379424,0.242131,-0.424806,0.371389,-0.518407,0.460008,-1.12693,1.09787

g10xg3,bsyn,-0.0309717,0.335843,-0.593927,0.518256,-0.720775,0.64304,-1.41361,1.62899

g10xg3,syn,-0.0004293,0.229543,-0.375241,0.380055,-0.53053,0.479471,-0.905681,1.2219

g10xg4,bsyn,-0.0415144,0.312163,-0.568114,0.461578,-0.686482,0.579822,-1.32558,1.43484

g10xg4,syn,-0.0126081,0.237248,-0.415318,0.364608,-0.519186,0.46824,-1.0916,0.931207

g10xg5,bsyn,-0.0926818,0.336709,-0.643706,0.460699,-0.781136,0.591375,-1.42413,1.46917

g10xg5,syn,-0.063679,0.231558,-0.440584,0.325346,-0.552535,0.428815,-0.943666,1.12197

g10xg6,bsyn,-0.0842578,0.324026,-0.634159,0.430797,-0.774077,0.54,-1.4356,1.20749

g10xg6,syn,-0.0536086,0.245952,-0.473738,0.343515,-0.573507,0.444746,-1.21264,0.968715

g10xg7,bsyn,-0.0666204,0.316154,-0.593036,0.447248,-0.728817,0.57027,-1.54787,1.25768

g10xg7,syn,-0.0421135,0.224017,-0.41446,0.321443,-0.501185,0.420749,-0.985977,1.16756

g10xg8,bsyn,-0.132754,0.366819,-0.766586,0.431643,-0.96646,0.577126,-1.90247,1.59152

g10xg8,syn,-0.0964045,0.264201,-0.534679,0.337625,-0.650001,0.463983,-1.24,1.04065

g10xg9,bsyn,-0.0690785,0.327354,-0.6159,0.466557,-0.742496,0.593146,-1.31283,1.40761

g10xg9,syn,-0.0504473,0.287947,-0.52241,0.428519,-0.64221,0.548572,-1.27553,1.33341

g1xg10,bsyn,-0.0102777,0.335282,-0.565315,0.532793,-0.702087,0.667173,-1.32813,1.44379

g1xg10,syn,0.0288229,0.189297,-0.287728,0.333062,-0.385056,0.40195,-0.773776,0.822938

g1xg2,bsyn,-0.00485967,0.338507,-0.577201,0.546944,-0.752537,0.692555,-1.39627,1.61551

g1xg2,syn,0.0344883,0.195643,-0.287661,0.361715,-0.39433,0.447669,-0.704296,0.877412

g1xg3,bsyn,0.0226143,0.341593,-0.542388,0.574228,-0.717287,0.726695,-1.37153,1.67405

g1xg3,syn,0.0542599,0.185942,-0.261123,0.356712,-0.419349,0.429568,-0.807664,0.835567

g1xg4,bsyn,-0.00766369,0.320495,-0.53778,0.516368,-0.71767,0.655296,-1.47397,1.48193

g1xg4,syn,0.0219344,0.186147,-0.293674,0.325574,-0.426381,0.406733,-0.904154,0.790583

g1xg5,bsyn,-0.0477965,0.312889,-0.571094,0.458295,-0.707215,0.592724,-1.34604,1.2669

g1xg5,syn,-0.0105765,0.194686,-0.33572,0.311003,-0.435746,0.398181,-0.801645,0.782498

g1xg6,bsyn,-0.0645096,0.356829,-0.666879,0.49863,-0.830961,0.632015,-1.58452,1.74842

g1xg6,syn,-0.00911672,0.192023,-0.33267,0.293956,-0.44855,0.371706,-0.92011,0.828087

g1xg7,bsyn,-0.0150087,0.302918,-0.511115,0.481779,-0.65972,0.598527,-1.70984,1.45886

g1xg7,syn,0.0157113,0.177382,-0.278286,0.303916,-0.378501,0.38235,-1.08001,0.808534

g1xg8,bsyn,-0.0680741,0.35363,-0.674396,0.480075,-0.818154,0.616127,-1.44641,1.44138

g1xg8,syn,-0.0191124,0.192243,-0.342649,0.283701,-0.433651,0.35685,-0.831551,0.829163

g1xg9,bsyn,0.00588801,0.327024,-0.533616,0.541939,-0.702311,0.681796,-1.5065,1.39531

g1xg9,syn,0.0343665,0.169898,-0.248052,0.313319,-0.357977,0.382665,-0.660902,0.856298

g2xg10,bsyn,-0.0481822,0.336661,-0.594245,0.505615,-0.713647,0.629468,-1.41834,1.37445

g2xg10,syn,-0.0144243,0.21891,-0.39099,0.334735,-0.465938,0.408738,-0.939334,0.879309

g2xg1,bsyn,-0.0982406,0.3492,-0.688683,0.47059,-0.843516,0.631141,-1.73249,1.43185

g2xg1,syn,-0.0541832,0.177433,-0.351292,0.236995,-0.432467,0.335145,-0.799798,0.653542

