SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
1003_3x1000_3,bsyn,-0.0232914,0.325328,-0.575135,0.492788,-0.740821,0.670514,-1.46907,1.63546

1003_3x1000_3,syn,-0.0120072,0.287875,-0.503853,0.442541,-0.637366,0.598597,-1.19106,1.37316

1003_3x1001_3,bsyn,0.0772615,0.31123,-0.448174,0.581855,-0.61544,0.718224,-1.44261,1.56436

1003_3x1001_3,syn,0.0872996,0.245982,-0.324464,0.493773,-0.482204,0.603506,-0.953722,1.30144

1003_3x1002_3,bsyn,-0.0933597,0.308743,-0.622676,0.401404,-0.851723,0.67073,-1.5297,1.21494

1003_3x1002_3,syn,-0.0875954,0.28458,-0.573027,0.372258,-0.770696,0.628257,-1.27307,1.21513

1003_3x1006_3,bsyn,0.0198303,0.314303,-0.518034,0.520619,-0.74939,0.661963,-1.46485,1.50568

1003_3x1006_3,syn,0.0306101,0.277701,-0.437056,0.473337,-0.642719,0.599762,-1.31152,1.38567

1003_3x1007_3,bsyn,-0.00624076,0.320776,-0.531481,0.508073,-0.730147,0.679178,-1.7249,1.45732

1003_3x1007_3,syn,0.0120393,0.242489,-0.393088,0.396106,-0.555917,0.51661,-1.129,1.19022

1003_3x1008_3,bsyn,0.0167606,0.299451,-0.47511,0.51875,-0.647637,0.65863,-1.34436,1.47938

1003_3x1008_3,syn,0.0277954,0.259368,-0.396247,0.463537,-0.558383,0.584462,-0.972587,1.30987

1003_3x1009_3,bsyn,0.0377812,0.304316,-0.483787,0.515986,-0.641352,0.661567,-1.42045,1.36526

1003_3x1009_3,syn,0.0448906,0.265307,-0.411089,0.460907,-0.565958,0.599373,-1.19306,1.37444

1003_3x1010_3,bsyn,0.0859207,0.318545,-0.451034,0.616014,-0.620665,0.743751,-1.23191,1.53422

1003_3x1010_3,syn,0.093594,0.259259,-0.342712,0.520534,-0.509649,0.622322,-1.0642,1.27956

1003_3x1011_3,bsyn,-0.0171845,0.325556,-0.566667,0.511371,-0.721293,0.663833,-1.46764,1.72723

1003_3x1011_3,syn,-0.00934102,0.291427,-0.502666,0.462614,-0.642213,0.604543,-1.45109,1.55198

1003_3x1012_3,bsyn,-0.0180053,0.32922,-0.567981,0.524413,-0.769872,0.729062,-1.55394,1.45807

1003_3x1012_3,syn,-0.0100723,0.282292,-0.474858,0.459266,-0.660443,0.639215,-1.33274,1.29247

1003_3x1013_3,bsyn,0.00464566,0.337423,-0.55725,0.553176,-0.717253,0.710541,-1.37091,1.58765

1003_3x1013_3,syn,0.0143307,0.294433,-0.474509,0.495894,-0.607633,0.633941,-1.18946,1.43413

1003_3x1014_3,bsyn,-0.0193457,0.335248,-0.58056,0.537106,-0.749476,0.703507,-1.25608,1.42896

1003_3x1014_3,syn,-0.0033815,0.279438,-0.456775,0.474503,-0.603345,0.61911,-1.21916,1.26261

1003_3x1015_3,bsyn,-0.0710703,0.321214,-0.617389,0.458454,-0.826996,0.635575,-1.39594,1.65252

1003_3x1015_3,syn,-0.0618646,0.285894,-0.553562,0.40222,-0.749467,0.562326,-1.32437,1.43029

1003_3x1017_3,bsyn,-0.0217942,0.313381,-0.581321,0.456579,-0.772441,0.589419,-1.29455,1.31198

1003_3x1017_3,syn,-0.0112882,0.271012,-0.492207,0.405705,-0.673356,0.525848,-1.3884,1.19808

1003_3x1036_3,bsyn,0.0115733,0.312102,-0.511423,0.50914,-0.679119,0.768563,-1.34009,1.61963

1003_3x1036_3,syn,0.0153102,0.271136,-0.439825,0.443759,-0.570756,0.668091,-1.26216,1.57153

1004_3x1000_3,bsyn,-0.0868331,0.289098,-0.574319,0.379118,-0.726598,0.573342,-1.32183,1.35355

1004_3x1000_3,syn,-0.0737664,0.247812,-0.49202,0.325773,-0.623282,0.493591,-1.27411,1.17762

1004_3x1001_3,bsyn,-0.0069941,0.322969,-0.556238,0.522737,-0.742368,0.679411,-1.42535,1.65101

1004_3x1001_3,syn,-0.0024212,0.299949,-0.50198,0.489209,-0.676924,0.630461,-1.30565,1.55112

1004_3x1002_3,bsyn,-0.199803,0.328699,-0.77758,0.31971,-0.940855,0.578925,-1.66746,1.18258

1004_3x1002_3,syn,-0.183484,0.284447,-0.682883,0.26062,-0.82853,0.497127,-1.51894,0.976129

1004_3x1006_3,bsyn,-0.0639425,0.309739,-0.584027,0.435989,-0.721862,0.574178,-1.33214,1.37174

1004_3x1006_3,syn,-0.0534498,0.283703,-0.529855,0.400528,-0.661726,0.529423,-1.36259,1.30801

1004_3x1007_3,bsyn,-0.0814625,0.332566,-0.652292,0.449974,-0.821216,0.632968,-1.50761,1.64731

1004_3x1007_3,syn,-0.0696916,0.296319,-0.572156,0.399466,-0.732308,0.560973,-1.53719,1.51571

1004_3x1008_3,bsyn,-0.0771162,0.316138,-0.617634,0.439044,-0.755224,0.596893,-1.5884,1.41552

1004_3x1008_3,syn,-0.06044,0.264177,-0.499488,0.375724,-0.62481,0.506894,-1.15784,1.26566

1004_3x1009_3,bsyn,-0.0726765,0.308835,-0.591033,0.429932,-0.753789,0.601794,-1.56929,1.45473

1004_3x1009_3,syn,-0.0630772,0.272508,-0.521194,0.375934,-0.668208,0.535733,-1.651,1.22735

1004_3x1010_3,bsyn,-0.0137515,0.339454,-0.592372,0.52147,-0.777784,0.686734,-1.51089,1.48814

1004_3x1010_3,syn,-0.00690203,0.306846,-0.526111,0.48253,-0.691315,0.630443,-1.34984,1.2992

1004_3x1011_3,bsyn,-0.112299,0.31089,-0.639276,0.386922,-0.822772,0.562232,-1.45414,1.42103

1004_3x1011_3,syn,-0.0986624,0.26761,-0.552989,0.332354,-0.724337,0.493207,-1.14946,1.32389

1004_3x1012_3,bsyn,-0.103194,0.303265,-0.602343,0.39112,-0.787365,0.615876,-1.55205,1.34661

1004_3x1012_3,syn,-0.093302,0.265569,-0.517602,0.349588,-0.680303,0.553795,-1.42985,1.36952

1004_3x1013_3,bsyn,-0.0893771,0.323439,-0.655623,0.42428,-0.818651,0.606967,-1.47859,1.48827

1004_3x1013_3,syn,-0.0789874,0.293538,-0.587061,0.387835,-0.749215,0.55549,-1.39587,1.45361

1004_3x1014_3,bsyn,-0.0859253,0.30959,-0.581801,0.446782,-0.758148,0.617573,-1.40355,1.33449

1004_3x1014_3,syn,-0.0764295,0.283672,-0.535623,0.403529,-0.68898,0.552617,-1.25851,1.40733

1004_3x1015_3,bsyn,-0.138259,0.339898,-0.709134,0.417117,-0.902405,0.598249,-1.72437,1.51017

