SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
T_template0xm10,bsyn,-0.0310223,0.228013,-0.427274,0.332358,-0.543261,0.431732,-1.13,1.01504

T_template0xm10,syn,-0.0210482,0.169811,-0.315411,0.248354,-0.475889,0.319701,-0.859993,0.856579

T_template0xm11,bsyn,-0.0104512,0.237879,-0.389432,0.394831,-0.520534,0.522508,-0.981131,1.20245

T_template0xm11,syn,0.00474634,0.176143,-0.274372,0.301808,-0.399404,0.394639,-0.705342,0.948698

T_template0xm12,bsyn,-0.00673873,0.224391,-0.386209,0.351747,-0.504551,0.465789,-0.993293,1.3067

T_template0xm12,syn,-0.00312202,0.163635,-0.278041,0.261249,-0.381267,0.356181,-0.741233,0.81544

T_template0xm1,bsyn,0.0181513,0.223019,-0.362736,0.364413,-0.474153,0.472756,-1.08992,1.37668

T_template0xm1,syn,0.0226588,0.181761,-0.293265,0.304103,-0.463942,0.398685,-0.935603,1.17927

T_template0xm2,bsyn,0.00744557,0.242002,-0.389814,0.400362,-0.499822,0.544392,-1.08656,1.47393

T_template0xm2,syn,0.0160656,0.178394,-0.280242,0.302317,-0.445059,0.37888,-0.854364,0.905814

T_template0xm3,bsyn,-0.0350126,0.225351,-0.401345,0.333864,-0.518296,0.454257,-1.39575,1.08683

T_template0xm3,syn,-0.0264936,0.191245,-0.334613,0.29137,-0.462127,0.434739,-1.2437,1.03503

T_template0xm4,bsyn,0.0141665,0.22991,-0.357698,0.39066,-0.478713,0.506078,-1.19426,1.33936

T_template0xm4,syn,0.0234608,0.16904,-0.250104,0.298854,-0.399202,0.37731,-0.873612,0.970558

T_template0xm5,bsyn,-0.195474,0.25799,-0.650288,0.201727,-0.774719,0.34902,-1.53322,1.11788

T_template0xm5,syn,-0.169708,0.187275,-0.489615,0.131707,-0.624559,0.252808,-0.967811,0.711936

T_template0xm6,bsyn,-0.0714156,0.23286,-0.457601,0.310435,-0.564716,0.418809,-1.2233,1.05376

T_template0xm6,syn,-0.0629261,0.200588,-0.392441,0.27014,-0.519078,0.373082,-1.06805,1.14983

T_template0xm7,bsyn,0.0162786,0.224677,-0.345383,0.393444,-0.448442,0.515794,-0.938502,1.21611

T_template0xm7,syn,0.0254233,0.159778,-0.231713,0.292827,-0.323363,0.3778,-0.762549,0.822887

T_template0xm8,bsyn,-0.0513762,0.232367,-0.427451,0.33828,-0.547213,0.457455,-1.18659,1.14547

T_template0xm8,syn,-0.0395263,0.175573,-0.318436,0.253498,-0.420038,0.374227,-0.892356,0.756121

T_template0xm9,bsyn,-0.0295848,0.250295,-0.435504,0.382622,-0.537798,0.51243,-1.12677,1.46668

T_template0xm9,syn,-0.0175752,0.209996,-0.349601,0.330879,-0.495575,0.483614,-0.931744,1.13289

