SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
T_template0xc10,bsyn,-0.119899,0.290037,-0.589913,0.363654,-0.73918,0.538171,-1.40707,1.24496

T_template0xc10,syn,-0.0986299,0.217194,-0.446124,0.259186,-0.546832,0.393236,-0.998941,1.08393

T_template0xc11,bsyn,-0.0535395,0.26537,-0.495041,0.371294,-0.619001,0.528006,-1.22823,1.37099

T_template0xc11,syn,-0.0361614,0.170466,-0.319418,0.237122,-0.415208,0.347527,-0.816038,0.74669

T_template0xc12,bsyn,-0.124635,0.305312,-0.607501,0.394855,-0.74602,0.568291,-1.46301,1.47069

T_template0xc12,syn,-0.0900413,0.221253,-0.4269,0.303023,-0.530518,0.439287,-1.01741,1.01075

T_template0xc13,bsyn,0.100885,0.260827,-0.308974,0.538302,-0.513818,0.664761,-1.30664,1.37049

T_template0xc13,syn,0.0853722,0.16134,-0.180736,0.351474,-0.314532,0.435336,-0.526892,0.841997

T_template0xc14,bsyn,0.0739166,0.252222,-0.340391,0.486388,-0.501732,0.612899,-1.37034,1.3365

T_template0xc14,syn,0.0835201,0.159385,-0.185632,0.340046,-0.317756,0.415741,-0.775314,0.851174

T_template0xc15,bsyn,0.0335918,0.275511,-0.405239,0.502173,-0.561064,0.62924,-1.04663,1.31792

T_template0xc15,syn,0.0315676,0.202717,-0.282256,0.377248,-0.399817,0.469323,-0.774093,0.983914

T_template0xc16,bsyn,0.061064,0.234679,-0.31486,0.450486,-0.471333,0.560934,-1.10687,1.2655

T_template0xc16,syn,0.0616043,0.181706,-0.232395,0.368265,-0.346451,0.45461,-0.798713,0.870624

T_template0xc17,bsyn,0.0471265,0.313761,-0.482386,0.532064,-0.651151,0.660499,-1.47478,1.38508

T_template0xc17,syn,0.0698622,0.232988,-0.331422,0.440676,-0.459991,0.528384,-0.874832,1.08309

T_template0xc18,bsyn,0.015197,0.245533,-0.393168,0.408354,-0.568189,0.523497,-1.29294,1.13506

T_template0xc18,syn,0.0248373,0.182699,-0.285321,0.314221,-0.410518,0.402557,-0.86203,0.829851

T_template0xc1,bsyn,-0.0394275,0.238263,-0.429302,0.363319,-0.559282,0.484116,-1.0812,1.03793

T_template0xc1,syn,-0.0283957,0.181376,-0.325844,0.274426,-0.43644,0.373575,-0.801689,0.785912

T_template0xc2,bsyn,-0.0689393,0.240734,-0.459337,0.330439,-0.618733,0.452614,-1.29417,1.18963

T_template0xc2,syn,-0.0565679,0.190004,-0.371407,0.252927,-0.484866,0.358135,-0.947221,0.978676

T_template0xc3,bsyn,-0.0599753,0.251229,-0.477315,0.338694,-0.60563,0.456685,-1.60716,1.54449

T_template0xc3,syn,-0.047003,0.17896,-0.341065,0.237772,-0.43975,0.327047,-1.10934,0.753976

T_template0xc4,bsyn,0.0635264,0.259833,-0.368964,0.490282,-0.520906,0.620717,-1.18433,1.23494

T_template0xc4,syn,0.0729526,0.184989,-0.229669,0.383141,-0.3462,0.469833,-0.768158,0.866452

T_template0xc5,bsyn,-0.0657098,0.241482,-0.450683,0.347646,-0.570019,0.485042,-1.07261,1.06718

T_template0xc5,syn,-0.0524234,0.169519,-0.318865,0.239131,-0.414422,0.34384,-0.852187,0.787418

T_template0xc6,bsyn,-0.00663557,0.23712,-0.390234,0.389897,-0.515615,0.504507,-1.04043,1.24364

T_template0xc6,syn,0.000476457,0.180216,-0.29755,0.293877,-0.385964,0.395659,-0.831562,1.01828

T_template0xc7,bsyn,-0.150008,0.259018,-0.591281,0.261225,-0.706967,0.420394,-1.38115,1.39307

T_template0xc7,syn,-0.126959,0.201401,-0.465006,0.200761,-0.552303,0.329,-0.925507,0.834973

T_template0xc8,bsyn,-0.238736,0.341009,-0.816112,0.320016,-0.97607,0.49308,-1.7288,1.23051

T_template0xc8,syn,-0.1915,0.273209,-0.641419,0.265264,-0.77533,0.412325,-1.69571,0.89318

T_template0xc9,bsyn,-0.0655521,0.267872,-0.508606,0.373327,-0.671749,0.519471,-1.37833,1.24117

T_template0xc9,syn,-0.0482852,0.183575,-0.340719,0.264323,-0.466788,0.38093,-0.859941,0.830079

