SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
T_Template0xS01,bsyn,0.0175201,0.216342,-0.365875,0.347185,-0.486225,0.442859,-0.952869,1.08056

T_Template0xS01,syn,0.0210904,0.190382,-0.316803,0.310708,-0.423831,0.392796,-0.911943,0.886448

T_Template0xS02,bsyn,0.0311768,0.21779,-0.343759,0.379293,-0.449955,0.483317,-0.930941,1.18902

T_Template0xS02,syn,0.0345267,0.190258,-0.293207,0.337161,-0.386061,0.428444,-0.8015,0.977984

T_Template0xS03,bsyn,0.0170201,0.254158,-0.423082,0.406506,-0.590979,0.527323,-1.31698,1.2389

T_Template0xS03,syn,0.0220421,0.22647,-0.362787,0.370332,-0.508745,0.477274,-1.2658,1.13969

T_Template0xS04,bsyn,0.0160513,0.223129,-0.355458,0.368175,-0.472658,0.485386,-1.20072,1.32165

T_Template0xS04,syn,0.0208404,0.194286,-0.311134,0.321446,-0.419758,0.419462,-1.02403,1.49406

T_Template0xS05,bsyn,0.00973159,0.244413,-0.402052,0.396777,-0.552983,0.511842,-1.37829,1.26118

T_Template0xS05,syn,0.0136294,0.221388,-0.359981,0.368667,-0.485448,0.478627,-1.12126,1.23837

T_Template0xS06,bsyn,0.0203434,0.230336,-0.382916,0.373876,-0.527162,0.479303,-1.18189,1.13816

T_Template0xS06,syn,0.0240021,0.201861,-0.330884,0.327648,-0.46195,0.423987,-1.0245,1.06125

T_Template0xS07,bsyn,0.0420017,0.225636,-0.341718,0.389737,-0.457842,0.518825,-1.22041,1.41026

T_Template0xS07,syn,0.046186,0.197986,-0.292976,0.344396,-0.392845,0.458388,-1.12743,1.42825

T_Template0xS08,bsyn,0.013668,0.222022,-0.36231,0.366235,-0.471273,0.477021,-0.976596,1.19155

T_Template0xS08,syn,0.0181547,0.194834,-0.316774,0.322952,-0.413404,0.412715,-1.08197,1.03704

T_Template0xS09,bsyn,0.0315127,0.217241,-0.342772,0.373354,-0.472085,0.476358,-1.19935,1.18098

T_Template0xS09,syn,0.0349459,0.191258,-0.292847,0.332611,-0.402711,0.422135,-1.13497,0.962342

T_Template0xS10,bsyn,0.0156942,0.225724,-0.389238,0.362844,-0.512426,0.464766,-1.02814,0.980296

T_Template0xS10,syn,0.0203166,0.190511,-0.319988,0.311451,-0.426133,0.39677,-1.00022,0.904652

T_Template0xS11,bsyn,0.0240721,0.229633,-0.36796,0.376046,-0.509781,0.481745,-1.48141,1.11979

T_Template0xS11,syn,0.0286979,0.205564,-0.3237,0.3386,-0.450977,0.434484,-1.50962,0.986288

T_Template0xS12,bsyn,0.00898707,0.237624,-0.411239,0.369758,-0.546553,0.479455,-1.11955,1.12916

T_Template0xS12,syn,0.0139961,0.207029,-0.349133,0.325601,-0.469825,0.422087,-0.973253,1.0619

T_Template0xS13,bsyn,0.0217233,0.219323,-0.364512,0.352003,-0.497424,0.458523,-1.18046,1.07288

T_Template0xS13,syn,0.0261992,0.191607,-0.312577,0.315496,-0.426236,0.406875,-1.09921,1.02106

T_Template0xS14,bsyn,0.0018657,0.227962,-0.374911,0.350926,-0.486917,0.518947,-1.02811,1.76696

T_Template0xS14,syn,0.00513843,0.20766,-0.332243,0.314967,-0.439647,0.481222,-0.91922,1.9027

T_Template0xS15,bsyn,0.0194999,0.235843,-0.38917,0.396316,-0.530162,0.520927,-1.48865,1.19923

T_Template0xS15,syn,0.024007,0.21034,-0.336205,0.353744,-0.472127,0.463782,-1.26461,1.11646

T_Template0xS16,bsyn,0.0304911,0.240928,-0.3811,0.402867,-0.52905,0.503471,-1.34414,1.19791

T_Template0xS16,syn,0.0345785,0.212623,-0.334184,0.358133,-0.463399,0.445942,-1.33456,0.91109

T_Template0xS17,bsyn,0.0397341,0.208551,-0.31246,0.370459,-0.427765,0.474436,-1.04202,1.12607

T_Template0xS17,syn,0.0416259,0.192795,-0.283631,0.349024,-0.392844,0.442954,-1.02498,1.21123

