SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
T_template0x1003_3,bsyn,-0.0472974,0.275582,-0.502709,0.404447,-0.642361,0.528627,-1.4322,1.47121

T_template0x1003_3,syn,-0.0418711,0.251422,-0.454037,0.369735,-0.573599,0.483524,-1.34439,1.32348

T_template0x1004_3,bsyn,0.0344125,0.261006,-0.38552,0.480409,-0.567614,0.612641,-1.31031,1.44403

T_template0x1004_3,syn,0.0350542,0.251397,-0.37194,0.460086,-0.541163,0.587953,-1.28632,1.5412

T_template0x1005_3,bsyn,-0.0186424,0.32084,-0.50596,0.526103,-0.635411,0.705706,-1.30684,1.69029

T_template0x1005_3,syn,-0.0102827,0.293724,-0.452312,0.489063,-0.56859,0.656254,-1.28621,1.58742

T_template0x1018_3,bsyn,-0.0300211,0.271136,-0.47856,0.416661,-0.621987,0.545765,-1.22688,1.26186

T_template0x1018_3,syn,-0.0236275,0.247404,-0.43154,0.388779,-0.566771,0.508322,-1.27867,1.30932

T_template0x1019_3,bsyn,-0.0619093,0.276195,-0.50548,0.401649,-0.764,0.572246,-1.20646,1.23103

T_template0x1019_3,syn,-0.0576209,0.260391,-0.472405,0.379924,-0.742506,0.543257,-1.14012,1.18107

T_template0x1023_3,bsyn,-0.0413856,0.272842,-0.48713,0.399893,-0.616102,0.530803,-1.52157,1.50266

T_template0x1023_3,syn,-0.036222,0.250016,-0.444371,0.370619,-0.561167,0.491899,-1.36783,1.31247

T_template0x1024_3,bsyn,0.0221494,0.256085,-0.389591,0.461782,-0.533872,0.605324,-1.22778,1.37383

T_template0x1024_3,syn,0.0234978,0.245993,-0.374474,0.443594,-0.509449,0.579299,-1.12396,1.28578

T_template0x1025_3,bsyn,-0.0149505,0.320558,-0.500903,0.53035,-0.65285,0.705986,-1.36538,1.68095

T_template0x1025_3,syn,-0.00690025,0.293396,-0.44944,0.491107,-0.582805,0.655935,-1.34344,1.54773

T_template0x1038_3,bsyn,-0.0353302,0.273639,-0.487664,0.417549,-0.666433,0.560283,-1.31113,1.33312

T_template0x1038_3,syn,-0.0294793,0.253259,-0.449466,0.390932,-0.619201,0.524949,-1.30519,1.31313

T_template0x1039_3,bsyn,-0.0604423,0.264659,-0.484677,0.385545,-0.614896,0.666299,-1.21271,1.18894

T_template0x1039_3,syn,-0.0561947,0.246999,-0.450159,0.359736,-0.596342,0.633597,-1.15476,1.05756

T_template0x1101_3,bsyn,0.0279167,0.265409,-0.406729,0.47443,-0.559845,0.605793,-1.26663,1.38983

T_template0x1101_3,syn,0.0303956,0.245937,-0.37025,0.444397,-0.50754,0.566909,-1.18663,1.20335

T_template0x1104_3,bsyn,0.0196548,0.264268,-0.392243,0.465828,-0.52999,0.793247,-1.59094,1.35745

T_template0x1104_3,syn,0.0226992,0.235884,-0.347083,0.427345,-0.472292,0.727294,-1.27175,1.19054

T_template0x1107_3,bsyn,-0.128004,0.268525,-0.594085,0.295272,-0.74439,0.417709,-1.62264,1.01408

T_template0x1107_3,syn,-0.119582,0.241586,-0.53784,0.261266,-0.675722,0.381568,-1.42017,0.94882

T_template0x1110_3,bsyn,-0.0542772,0.250498,-0.464825,0.353876,-0.614485,0.535426,-1.18727,1.23109

T_template0x1110_3,syn,-0.0508635,0.238354,-0.438575,0.339778,-0.57572,0.512563,-1.36093,1.139

T_template0x1113_3,bsyn,-0.00667936,0.264004,-0.431626,0.442188,-0.59905,0.612331,-1.33318,1.4678

T_template0x1113_3,syn,-0.0011166,0.243171,-0.394075,0.413606,-0.549343,0.573405,-1.2205,1.27004

T_template0x1116_3,bsyn,-0.0484622,0.270839,-0.485413,0.408941,-0.603522,0.589866,-1.23796,1.49096

T_template0x1116_3,syn,-0.0312447,0.176387,-0.304262,0.265483,-0.396774,0.3673,-0.795095,0.829915

T_template0x1119_3,bsyn,-0.0822215,0.343012,-0.6314,0.461394,-0.775032,0.615354,-1.48777,1.8728

T_template0x1119_3,syn,-0.0749599,0.322984,-0.590469,0.435781,-0.722244,0.586383,-1.57943,1.78788

T_template0x1122_3,bsyn,-0.0889054,0.311772,-0.615576,0.409718,-0.767433,0.61052,-1.78322,1.24618

T_template0x1122_3,syn,-0.0792189,0.278455,-0.5457,0.359012,-0.687444,0.544017,-1.55953,1.21458

T_template0x1125_3,bsyn,-0.0579997,0.324841,-0.569106,0.443096,-0.706408,0.65991,-1.44484,1.84548

T_template0x1125_3,syn,-0.0533429,0.302409,-0.522714,0.411859,-0.648686,0.62592,-1.39458,1.69873

T_template0x1128_3,bsyn,-0.192872,0.333131,-0.749836,0.342117,-0.900732,0.533195,-1.81465,1.35314

T_template0x1128_3,syn,-0.18259,0.304484,-0.690904,0.300521,-0.835666,0.479811,-1.77946,1.15741

