SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
T_template0xg10,bsyn,-0.0285946,0.240977,-0.416018,0.380861,-0.520198,0.487412,-1.0874,1.28618

T_template0xg10,syn,-0.0257098,0.200992,-0.348649,0.315572,-0.43789,0.417235,-0.962333,1.08031

T_template0xg1,bsyn,-0.0752778,0.260836,-0.510766,0.356471,-0.638502,0.484851,-1.25541,1.11066

T_template0xg1,syn,-0.0579638,0.178436,-0.347674,0.240159,-0.42893,0.334564,-0.875602,0.848275

T_template0xg2,bsyn,-0.0384312,0.270299,-0.473961,0.402939,-0.607222,0.514887,-1.42427,1.53351

T_template0xg2,syn,-0.0248497,0.193545,-0.341695,0.294347,-0.438482,0.380525,-0.889863,0.957026

T_template0xg3,bsyn,0.0341425,0.244558,-0.371806,0.434541,-0.488617,0.545289,-1.2685,1.56151

T_template0xg3,syn,0.0414865,0.163931,-0.226869,0.315193,-0.341776,0.380427,-0.716329,0.822634

T_template0xg4,bsyn,-0.0157365,0.269645,-0.462706,0.432798,-0.582566,0.547587,-1.33745,1.29304

T_template0xg4,syn,0.00041457,0.194169,-0.317247,0.324986,-0.407437,0.409534,-0.841706,0.934197

T_template0xg5,bsyn,-0.0807199,0.27098,-0.52084,0.369731,-0.648303,0.485254,-1.58523,1.51325

T_template0xg5,syn,-0.0586656,0.182576,-0.355529,0.248243,-0.433478,0.328968,-0.996715,0.850468

T_template0xg6,bsyn,-0.0508212,0.248477,-0.463108,0.357415,-0.584438,0.462875,-1.27515,1.16183

T_template0xg6,syn,-0.0367404,0.181757,-0.335929,0.263245,-0.420552,0.339951,-1.00447,0.958995

T_template0xg7,bsyn,-0.0584329,0.253814,-0.470432,0.366808,-0.576922,0.471599,-1.31669,1.14715

T_template0xg7,syn,-0.0421183,0.182295,-0.333952,0.269611,-0.442117,0.349852,-0.758083,0.773469

T_template0xg8,bsyn,-0.0547455,0.272566,-0.536249,0.368775,-0.652591,0.487033,-1.26206,1.39415

T_template0xg8,syn,-0.0403139,0.200865,-0.39046,0.273076,-0.475886,0.367936,-0.896272,1.06996

T_template0xg9,bsyn,-0.0125339,0.241376,-0.414166,0.380183,-0.514872,0.484312,-1.20326,1.29145

T_template0xg9,syn,-0.000348504,0.161403,-0.26948,0.263559,-0.358184,0.32847,-0.667012,0.763919

